,NAME,Type,GEOCODE_INPUT,LAT,LNG
0,ESC MUL PROF ANTÔNIO SEVERIANO,Elem,"AV OURO PRETO, 2754, NATAL-RN",-27.001143,-48.604992
1,ESC MUL PROF ARNALDO MONTEIRO BEZERRA,Elem,"ARACITABA, 2993, NATAL-RN",-26.987123,-48.632426
2,ESC MUL PROF ASCENDINO DE ALMEIDA,Elem,"RUA JOAQUIM CARDOSO, , NATAL-RN",-26.971815,-48.631165
3,ESC MUL PROF CARLOS BELLO MORENO,Elem,"RUA ARAPIRACA, , NATAL-RN",-26.997600,-48.590708
4,ESC MUL PROF OTTO DE BRITO GUERRA,Elem,"RUA SERRA DA JUREMA, , NATAL-RN",-26.985881,-48.645377
5,ESC MUL PROFA JOSEFA BOTELHO,Elem,"RUA MANOEL CONGO, 318, NATAL-RN",-27.048691,-48.588220
6,ESC MUL SÃO JOSÉ,Elem,"RUA VEREADOR MANOEL CORINGA DE LEMOS,, 434, NATAL-RN",-27.014048,-48.613200
7,ESC MUL PROF ULISSES DE GOIS,Elem,"PADRE RAIMUNDO BRASIL, , NATAL-RN",-27.148830,-48.487666
8,ESC MUL 4º CENTENÁRIO,Elem,"AV.FLORIANO PEIXOTO, 295, NATAL-RN",-27.137132,-48.517705
9,ESC MUL HENRIQUE CASTRICIANO,Elem,"RUA DECIO FONSECA, 633, NATAL-RN",-27.147298,-48.482214
10,ESC MUL JOÃO XXIII,Elem,"RUA DOS PAJEUS, 1875, NATAL-RN",-27.181670,-48.519914
11,ESC MUL JUVENAL LAMARTINE,Elem,"RUA PRESIDENTE SÁRMENTO, 1156, NATAL-RN",-27.1489444,-48.4912818
12,ESC MUL MONSENHOR JOAQUIM HONÓRIO,Elem,"RUA PTE MASCARENHAS, 768, NATAL-RN",-27.130312,-48.598896
13,ESC MUL PROF ANTÔNIO CAMPOS E SILVA,Elem,"RUA JOÃO XXIII, 1821, NATAL-RN",-27.087687,-48.603546
14,ESC MUL PROFA LAURA MAIA,Elem,"RUA DO MOTOR, 707, NATAL-RN",-27.142508,-48.544098
15,ESC MUL PROFA MARECI GOMES DOS SANTOS,Elem,"TRAVESSÁ OCIDENTAL DE BAIXO, 333, NATAL-RN",-27.154253,-48.544570
16,ESC MUL SANTOS REIS,Elem,"RUA DECIO FONSECA, S/N, NATAL-RN",-26.799558,-48.613519
17,ESC MUL CELESTINO PIMENTEL,Elem,"PERNAMBUCO, 145, NATAL-RN",-27.242671,-48.628657
18,ESC MUL CHICO SÁNTEIRO,Elem,"RUA DA CRUZ, , NATAL-RN",-26.951038,-48.629536
19,ESC MUL DJALMA MARANHÃO,Elem,"RUA SANTA MARIA MADALENA, 2, NATAL-RN",-26.906301,-48.654117
20,ESC MUL ESTUDANTE EMMANUEL BEZERRA,Elem,"RUA MIRA MANGUE, 1187, NATAL-RN",-26.924263,-48.641542
21,ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU,Elem,"RUA DOS PEGAS, , NATAL-RN",-26.914504,-48.641363
22,ESC MUL NOSSA SRA DAS DORES,Elem,"RUA RIO POTENGI, 3556, NATAL-RN",-26.915836,-49.084334
23,ESC MUL PREF MÁRIO LIRA,Elem,"AVENIDA ANTÔNIO BASILIO, 1,24, NATAL-RN",-26.921728,-49.058889
24,ESC MUL PROF BERILO WANDERLEY,Elem,"RUA DOS PAIANASÉS, S/N, NATAL-RN",-26.925524,-49.082146
25,ESC MUL PROF BERNARDO DO NASCIMENTO,Elem,"RUA NOSSA SENHORA DO LIVRAMENTO, , NATAL-RN",-26.914265,-49.069020
26,ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI,Elem,"RUA DA LAGOA SECA, , NATAL-RN",-27.225266,-49.157955
27,ESC MUL PROF LUÍS MARANHÃO FILHO,Elem,"SOLANGE NUNES DO NASCIMENTO, 239, NATAL-RN",-27.076967,-48.888201
28,ESC MUL PROF VERÍSSIMO DE MELO,Elem,"RUA RAINHA DO MAR, , NATAL-RN",-27.252385,-48.943731
29,ESC MUL PROF ZUZA,Elem,"MIGUEL CASTRO,NATAL-RN",-27.265398,-48.91295239999999
30,ESC MUL PROFA ALMERINDA BEZERRA FURTADO,Elem,"RUA DA RIBEIRA, , NATAL-RN",-27.285894,-48.932497
31,ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA,Elem,"RUA PREF GENTIL FERREIRA, , NATAL-RN",-27.286375,-48.930241
32,ESC MUL PROFA EMÍLIA RAMOS,Elem,"RUA DANTAS BARRETO, 419, NATAL-RN",-26.826270,-49.276012
